SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
8329,PRPA11,fan palm,Pritchardia,pacifica,NA,NA,1.35,2.7,1.76
8330,PRPE7,Waioli Valley pritchardia,Pritchardia,perlmanii,NA,NA,1.35,2.7,1.76
8331,PRRE,Nihoa pritchardia,Pritchardia,remota,NA,NA,1.35,2.7,1.76
8336,PRSC,lands of papa pritchardia,Pritchardia,schattaueri,NA,NA,1.35,2.7,1.76
8337,PRITC,pritchardia,Pritchardia,spp.,NA,NA,1.35,2.7,1.76
8338,PRVI2,stickybud pritchardia,Pritchardia,viscosa,NA,NA,1.35,2.7,1.76
8339,PRWA,poleline pritchardia,Pritchardia,waialealeana,NA,NA,1.35,2.7,1.76
8340,PRCR2,guasimilla,Prockia,crucis,NA,NA,2.96,5.92,1.76
8341,PRPE6,fua lole,Procris,pedunculata,NA,NA,0.96,1.92,1.76
8342,PRCI4,jand,Prosopis,cineraria,NA,NA,2.96,5.92,1.76
8343,PRJU,mesquite,Prosopis,juliflora,NA,NA,2.25,4.5,1.76
8344,PRPA4,kiawe,Prosopis,pallida,NA,NA,2.96,5.92,1.76
8345,PRCA,Carolina laurelcherry,Prunus,caroliniana,NA,NA,2.25,4.5,2
8346,PRMY,West Indian cherry,Prunus,myrtifolia,NA,NA,2.96,5.92,1.76
8347,PROC,western cherry laurel,Prunus,occidentalis,NA,NA,2.96,5.92,1.76
8349,PRSEC,Prunus serotina,Prunus,serotina,NA,capuli,2.96,5.92,1.76
8350,PRAR3,apricot,Prunus,armeniaca,NA,NA,2.96,5.92,1.76
8352,PSSP2,false breadnut,Pseudolmedia,spuria,NA,NA,2.96,5.92,1.76
8353,PSSA,Florida cherry palm,Pseudophoenix,sargentii,NA,NA,2.96,5.92,1.76
8354,PSAM,mountain guava,Psidium,amplexicaule,NA,NA,2.96,5.92,1.76
8355,PSCA,strawberry guava,Psidium,cattleianum,NA,NA,1.94,3.88,1.76
8356,PSGU,guava,Psidium,guajava,NA,NA,2.96,5.92,1.76
8358,PSLOO,Psidium longipes,Psidium,longipes,NA,NA,2.96,5.92,1.76
8359,PSSI2,Sintenis' guava,Psidium,sintenisii,NA,NA,2.96,5.92,1.76
8360,PRSA3,Japanese plum,Prunus,salicina,NA,NA,2.25,4.5,2
8361,PSBE,cachimbo-cumun,Psychotria,berteriana,NA,NA,2.96,5.92,1.76
8362,PSBR2,palo de cachimbo,Psychotria,brachiata,NA,NA,2.96,5.92,1.76
8363,PSBR3,Browne's wild coffee,Psychotria,brownei,NA,NA,2.96,5.92,1.76
8364,PSDO2,Psychotria domingensis,Psychotria,domingensis,NA,NA,2.96,5.92,1.76
8365,PSFA,Koolau Range wild coffee,Psychotria,fauriei,NA,NA,1.52,3.04,1.76
8366,PSGR,largeflower wild coffee,Psychotria,grandiflora,NA,NA,1.46,2.92,1.76
8367,PSGR2,cachimbo grande,Psychotria,grandis,NA,NA,2.96,5.92,1.76
8368,PSCA18,chimei,Psychotria,carolinensis,NA,NA,2.96,5.92,1.76
8369,PSGR3,Kauai wild coffee,Psychotria,greenwelliae,NA,NA,1.46,2.92,1.76
8370,PSHA2,Waianae Range wild coffee,Psychotria,hathewayi,NA,NA,1.46,2.92,1.76
8373,PSHA3,kopikoula,Psychotria,hawaiiensis,NA,NA,1.52,3.04,1.76
8377,PSHE2,woodland wild coffee,Psychotria,hexandra,NA,NA,1.46,2.92,1.76
8382,PSHEO,Oahu wild coffee,Psychotria,hexandra,NA,oahuensis,1.46,2.92,1.76
8386,PSHO,milolii kopiwai,Psychotria,hobdyi,NA,NA,1.46,2.92,1.76
8387,PSIN10,matalafi,Psychotria,insularum,NA,NA,1.46,2.92,1.76
8388,PSKA,kopiko kea,Psychotria,kaduana,NA,NA,1.46,2.92,1.76
8389,PSMA4,cachimbo de gato,Psychotria,maleolens,NA,NA,2.96,5.92,1.76
8390,PSYMAR,aplohkateng,Psychotria,mariana,NA,NA,1.46,2.92,1.76
8391,PSMA5,cachimbo de maricao,Psychotria,maricaensis,NA,NA,2.96,5.92,1.76
8392,PSMA6,forest wild coffee,Psychotria,mariniana,NA,NA,1.46,2.92,1.76
8393,PSMA7,opiko,Psychotria,mauiensis,NA,NA,1.46,2.92,1.76
8394,PSMI,thicket wild coffee,Psychotria,microdon,NA,NA,2.96,5.92,1.76
8395,PSNU2,floating balsamo,Psychotria,nutans,NA,NA,2.96,5.92,1.76
8397,PSPU,hairy wild coffee,Psychotria,pubescens,NA,NA,2.96,5.92,1.76
8398,PSRH2,Psychotria rhombocarpa,Psychotria,rhombocarpa,NA,NA,1.46,2.92,1.76
8399,PSRO2,Psychotria rotensis,Psychotria,rotensis,NA,NA,1.46,2.92,1.76
8400,PSYCH,wild coffee,Psychotria,spp.,NA,NA,1.46,2.92,1.76
8401,PSWA2,leatherleaf wild coffee,Psychotria,wawrae,NA,NA,1.46,2.92,1.76
8402,PSOD,alahee,Psydrax,odorata,NA,NA,2.44,4.88,1.76
8404,PTKA,Kauai pteralyxia,Pteralyxia,kauaiensis,NA,NA,1.49,2.98,1.76
8405,PTMA,ridged pteralyxia,Pteralyxia,macrocarpa,NA,NA,1.49,2.98,1.76
8406,PTERA,pteralyxia,Pteralyxia,spp.,NA,NA,1.49,2.98,1.76
8407,PTIN2,pterocarpus,Pterocarpus,indicus,NA,NA,2.96,5.92,1.76
8408,PTMA7,Burma padauk,Pterocarpus,macrocarpus,NA,NA,2.96,5.92,1.76
8409,PTMA3,Malabar kino,Pterocarpus,marsupium,NA,NA,2.96,5.92,1.76
8410,PTOF,dragonsblood tree,Pterocarpus,officinalis,NA,NA,2.96,5.92,1.76
8412,PTLE3,Ptychococcus ledermannianus,Ptychococcus,ledermannianus,NA,NA,1.35,2.7,1.76
8413,PSCH4,Psychotria cheathamiana,Psychotria,cheathamiana,NA,NA,1.46,2.92,1.76
8415,PTMA8,Macarthur feather palm,Ptychosperma,macarthuri,NA,NA,1.35,2.7,1.76
8416,PTPA,chesdbuuch,Ptychosperma,palauense,NA,NA,1.35,2.7,1.76
8418,PTYCH4,Ptychosperma,Ptychosperma,spp.,NA,NA,1.35,2.7,1.76
8419,PUGR2,pomegranate,Punica,granatum,NA,NA,2.96,5.92,1.76
8421,PYCA80,Callery pear,Pyrus,calleryana,NA,NA,3.2,6.4,1.76
8422,QUTU,swizzlestick tree,Quararibea,turbinata,NA,NA,2.96,5.92,1.76
