SPCD,SPECIES_SYMBOL,COMMON_NAME,GENUS,SPECIES,VARIETY,SUBSPECIES,CORDS_TO_GREEN_TONS,MBF_TO_GREEN_TONS,DRYWT_TO_GREENWT_CONVERSION
8654,STMO,cobana negra,Stahlia,monosperma,NA,NA,2.96,5.92,1.76
8655,STAM10,ngmui,Stemonurus,ammui,NA,NA,1.43,2.86,1.76
8656,SPPI4,titmel,Spondias,pinnata,NA,NA,0.65,1.3,1.76
8660,SOAM2,maras,Soulamea,amara,NA,NA,2.96,5.92,1.76
8664,STAP,Panama tree,Sterculia,apetala,NA,NA,2.96,5.92,1.76
8665,STFA5,fanaio,Sterculia,fanaiho,NA,NA,1.21,2.42,1.76
8666,STFO2,hazel sterculia,Sterculia,foetida,NA,NA,2.96,5.92,1.76
8667,STPA20,Sterculia palauensis,Sterculia,palauensis,NA,NA,1.21,2.42,1.76
8669,STAN9,anthropophagorum,Streblus,anthropophagorum,NA,NA,2,4,1.76
8670,STPE3,Hawaii roughbush,Streblus,pendulinus,NA,NA,2,4,1.76
8671,STREB,streblus,Streblus,spp.,NA,NA,2,4,1.76
8674,STPO3,palo de jazmin,Styrax,portoricensis,NA,NA,2.96,5.92,1.76
8676,SUMA2,bay cedar,Suriana,maritima,NA,NA,2.96,5.92,1.76
8678,SWIET,mahogany,Swietenia,spp.,NA,NA,2.96,5.92,1.76
8679,SWMA,Honduras mahogany,Swietenia,macrophylla,NA,NA,2.96,5.92,1.76
8683,SYLA2,nispero cimarron,Symplocos,lanata,NA,NA,2.96,5.92,1.76
8684,SYMA,Martinique sweetleaf,Symplocos,martinicensis,NA,NA,2.96,5.92,1.76
8685,SYMI3,aceitunilla,Symplocos,micrantha,NA,NA,2.96,5.92,1.76
8686,SYRO4,queen palm,Syagrus,romanzoffiana,NA,NA,2.96,5.92,1.76
8687,SYRA6,"chebtui, ebtui",Symplocos,racemosa,NA,NA,1.46,2.92,1.76
8689,SYGL,turpentine tree,Syncarpia,glomulifera,NA,NA,2.14,4.28,1.76
8690,SYNCA,turpentine tree,Syncarpia,spp.,NA,NA,2.1,4.2,1.76
8691,SYDU,miraculous berry,Synsepalum,dulcificum,NA,NA,1.52,3.04,1.76
8694,SYAQ,watery roseapple,Syzygium,aqueum,NA,NA,1.24,2.48,1.76
8695,SYBR3,asi,Syzygium,brevifolium,NA,NA,1.78,3.56,1.76
8696,SYCA4,popona,Syzygium,carolinense,NA,NA,1.78,3.56,1.76
8697,SYCL,asi vai,Syzygium,clusiifolium,NA,NA,1.78,3.56,1.76
8699,SYDE3,asi vai,Syzygium,dealatum,NA,NA,1.78,3.56,1.76
8700,SYIN2,asi,Syzygium,inophylloides,NA,NA,2.25,4.5,1.76
8701,SYJA,Syzygium jambos,Syzygium,jambos,NA,NA,2.96,5.92,1.76
8702,SYMA2,Malaysian apple,Syzygium,malaccense,NA,NA,2.96,5.92,1.76
8703,SYRI3,popona,Syzygium,richii,NA,NA,1.78,3.56,1.76
8704,SYSA3,nonu vao,Syzygium,samarangense,NA,NA,1.78,3.56,1.76
8705,SYSA6,fena vao,Syzygium,samoense,NA,NA,1.78,3.56,1.76
8706,SYSA,ohia ha,Syzygium,sandwicense,NA,NA,1.78,3.56,1.76
8707,SYPA7,brush cherry,Syzygium,paniculatum,NA,NA,2.96,5.92,1.76
8708,SYZYG,syzygium,Syzygium,spp.,NA,NA,1.78,3.56,1.76
8709,TACH3,roble amarillo,Tabebuia,chrysantha,NA,NA,2.96,5.92,1.76
8710,TADO2,primavera,Tabebuia,donnell-smithii,NA,NA,2.96,5.92,1.76
8712,TAHA,roble cimarron,Tabebuia,haemantha,NA,NA,2.96,5.92,1.76
8713,TAHE,white cedar,Tabebuia,heterophylla,NA,NA,2.96,5.92,1.76
8714,TAPA10,pink tabebuia,Tabebuia,pallida,NA,NA,1.63,3.26,1.76
8715,TARI,roble de sierra,Tabebuia,rigida,NA,NA,2.96,5.92,1.76
8716,TARO,pink trumpet-tree,Tabebuia,rosea,NA,NA,2.96,5.92,1.76
8717,TASC2,roble colorado,Tabebuia,schumanniana,NA,NA,2.96,5.92,1.76
8718,TABEB,trumpet-tree,Tabebuia,spp.,NA,NA,2.28,4.56,1.76
8719,TAAU3,Tabernaemontana aurantiaca,Tabernaemontana,aurantiaca,NA,NA,1.46,2.92,1.76
8720,TACI,milkwood,Tabernaemontana,citrifolia,NA,NA,2.96,5.92,1.76
8722,TAPA13,Pulu,Tabernaemontana,pandacaqui,NA,NA,1.46,2.92,1.76
8723,TARO3,Tabernaemontana rotensis,Tabernaemontana,rotensis,NA,NA,1.46,2.92,1.76
8727,TAAP,Athel tamarisk,Tamarix,aphylla,NA,NA,2.96,5.92,1.76
8729,TARA,saltcedar,Tamarix,ramosissima,NA,NA,2.96,5.92,1.76
8737,TASA2,manunu,Tarenna,sambucina,NA,NA,1.85,3.7,1.76
8741,TECA9,chestnutleaf trumpetbush,Tecoma,castanifolia,NA,NA,2.05,4.1,1.76
8743,TEST,yellow trumpetbush,Tecoma,stans,NA,NA,2.96,5.92,1.76
8744,TEGR,teak,Tectona,grandis,NA,NA,2.96,5.92,1.76
8745,TECTO,tectona,Tectona,spp.,NA,NA,1.65,3.3,1.76
8748,TERMI,tropical almond,Terminalia,spp.,NA,NA,2.96,5.92,1.76
8749,TECA16,kehma,Terminalia,carolinensis,NA,NA,1.41,2.82,1.76
8750,TECA,tropical almond,Terminalia,catappa,NA,NA,2.96,5.92,1.76
8751,TECR3,"esemiich, chesemiich",Terminalia,crassipes,NA,NA,1.41,2.82,1.76
8752,TEED,"esemiich, chesemiich",Terminalia,edulis,NA,NA,1.41,2.82,1.76
8753,TELI7,strand tree,Terminalia,litoralis,NA,NA,2.96,5.92,1.76
8754,TEIV2,Ivory Coast almond,Terminalia,ivorensis,NA,NA,2.96,5.92,1.76
8755,TEKA4,tropical almond,Terminalia,kaernbachii,NA,NA,1.11,2.22,1.76
8756,TEMY,East Indian almond,Terminalia,myriocarpa,NA,NA,2.96,5.92,1.76
8757,TEOB,Peruvian almond,Terminalia,oblonga,NA,NA,2.96,5.92,1.76
8758,TERI3,malili,Terminalia,richii,NA,NA,1.33,2.66,1.76
8759,TESA2,talie,Terminalia,samoensis,NA,NA,1.41,2.82,1.76
8761,TESU2,superb terminalia,Terminalia,superba,NA,NA,2.96,5.92,1.76
8762,TEHE3,saintedwood,Ternstroemia,heptasepala,NA,NA,2.96,5.92,1.76
8763,TELU2,palo colorado,Ternstroemia,luquillensis,NA,NA,2.96,5.92,1.76
8764,TEPE,copey vera,Ternstroemia,peduncularis,NA,NA,2.96,5.92,1.76
8766,TEST3,mamey de cura,Ternstroemia,stahlii,NA,NA,2.96,5.92,1.76
8767,TESU,el yunque colorado,Ternstroemia,subsessilis,NA,NA,2.96,5.92,1.76
8768,TEBA,masa,Tetragastris,balsamifera,NA,NA,2.96,5.92,1.76
8770,TEFL5,Flynnsohe,Tetraplasandra,flynnii,NA,NA,1.15,2.3,1.76
8771,TEGY,Koolau Rangeohe,Tetraplasandra,gymnocarpa,NA,NA,1.15,2.3,1.76
8772,TEHA2,Hawaii ohe,Tetraplasandra,hawaiensis,NA,NA,1.15,2.3,1.76
8773,TEKA3,ohe ohe,Tetraplasandra,kavaiensis,NA,NA,1.15,2.3,1.76
8774,TEOA,ohe mauka,Tetraplasandra,oahuensis,NA,NA,1.15,2.3,1.76
8775,TETRA11,tetraplasandra,Tetraplasandra,spp.,NA,NA,1.15,2.3,1.76
8776,TEWA,Mt. Waialeale ohe,Tetraplasandra,waialealae,NA,NA,1.15,2.3,1.76
8777,TEWA3,ohe kiko ola,Tetraplasandra,waimeae,NA,NA,1.15,2.3,1.76
8778,TEAN2,stinkingfish,Tetrazygia,angustifolia,NA,NA,2.96,5.92,1.76
8779,TEBI,Florida clover ash,Tetrazygia,bicolor,NA,NA,1.91,3.82,1.76
8780,TEBI2,Puerto Rico clover ash,Tetrazygia,biflora,NA,NA,2.96,5.92,1.76
8781,TEEL,krekre,Tetrazygia,elaeagnoides,NA,NA,2.96,5.92,1.76
8783,TEUR,cenizo,Tetrazygia,urbanii,NA,NA,2.96,5.92,1.76
8784,THCA,cacao,Theobroma,cacao,NA,NA,2.96,5.92,1.76
8786,THGR2,maga,Thespesia,grandiflora,NA,NA,2.96,5.92,1.76
8787,THPO3,Portia tree,Thespesia,populnea,NA,NA,2.96,5.92,1.76
8788,THESP,thespesia,Thespesia,spp.,NA,NA,1.71,3.42,1.76
8789,THPE3,luckynut,Thevetia,peruviana,NA,NA,2.96,5.92,1.76
8793,THST2,ceboruquillo,Thouinia,striata,NA,NA,2.96,5.92,1.76
8794,THSTP,Puerto Rico ceboruquillo,Thouinia,striata,portoricensis,NA,2.96,5.92,1.76
8799,TIAL2,Timonius albus,Timonius,albus,NA,NA,1.6,3.2,1.76
8800,TILE4,kehn,Timonius,ledermannii,NA,NA,1.55,3.1,1.76
8801,TIPO5,tuhke duwehte kamal,Timonius,ponapensis,NA,NA,1.55,3.1,1.76
8803,TIGR3,Brazilian glorytree,Tibouchina,granulosa,NA,NA,2.96,5.92,1.76
8804,TIBOU,glorytree,Tibouchina,spp.,NA,NA,1.71,3.42,1.76
8805,TIUR,princess-flower,Tibouchina,urvilleana,NA,NA,1.71,3.42,1.76
8806,TICO7,Timonius corymbosus,Timonius,corymbosus,NA,NA,1.55,3.1,1.76
8807,TIMO4,Timonius mollis,Timonius,mollis,NA,NA,1.55,3.1,1.76
8808,TIMON,Timonius,Timonius,spp.,NA,NA,1.55,3.1,1.76
8809,TISU3,Timonius subauritus,Timonius,subauritus,NA,NA,1.55,3.1,1.76
8810,TITI,Timonius timon,Timonius,timon,NA,NA,1.55,3.1,1.76
8811,TOONA,redcedar,Toona,spp.,NA,NA,2.96,5.92,1.76
8812,TOCI,Australian redcedar,Toona,ciliata,NA,NA,2.96,5.92,1.76
8814,TITO,Silver linden,Tilia,tomentosa,NA,NA,2.02,4.04,2.03
8815,TITI2,tipa,Tipuana,tipu,NA,NA,2.96,5.92,1.76
8816,TOCU,boje,Torralbasia,cuneifolia,NA,NA,2.96,5.92,1.76
8822,TOLA,olona,Touchardia,latifolia,NA,NA,0.96,1.92,1.76
8823,TOUCH,touchardia,Touchardia,spp.,NA,NA,0.96,1.92,1.76
8824,TOAR2,velvetleaf soldierbush,Tournefortia,argentea,NA,NA,1.32,2.64,1.76
8825,TOFI,cold withe,Tournefortia,filiflora,NA,NA,2.96,5.92,1.76
8826,TOURN,soldierbush,Tournefortia,spp.,NA,NA,1.32,2.64,1.76
8827,TRCA33,magele,Trema,cannabina,NA,NA,0.91,1.82,1.76
8828,TRLA2,Lamarck's trema,Trema,lamarckiana,NA,NA,2.96,5.92,1.76
8829,TRMI2,Jamaican nettletree,Trema,micrantha,NA,NA,2.96,5.92,1.76
8831,TROR,oriental trema,Trema,orientalis,NA,NA,0.96,1.92,1.76
8832,TREMA,trema,Trema,spp.,NA,NA,0.91,1.82,1.76
8833,TRHI3,broomstick,Trichilia,hirta,NA,NA,2.96,5.92,1.76
8834,TRPA2,gaita,Trichilia,pallida,NA,NA,2.96,5.92,1.76
8836,TRTR8,bariaco,Trichilia,triacantha,NA,NA,2.96,5.92,1.76
8837,TRIK,Trichospermum ikutai,Trichospermum,ikutai,NA,NA,0.94,1.88,1.76
8838,TRLE8,"elsau, oleiulakersus",Trichospermum,ledermannii,NA,NA,0.9,1.8,1.76
8839,TRRI9,maouli,Trichospermum,richii,NA,NA,0.9,1.8,1.76
8842,TRTR7,limeberry,Triphasia,trifolia,NA,NA,2.96,5.92,1.76
8843,TRIPL5,Triplaris spp.,Triplaris,spp.,NA,NA,2.96,5.92,1.76
8844,TRCU6,ant tree,Triplaris,cumingiana,NA,NA,2.96,5.92,1.76
8846,TROB7,faia,Tristiropsis,obtusangula,NA,NA,1.62,3.24,1.76
8848,TRRA4,white ramoon,Trophis,racemosa,NA,NA,2.96,5.92,1.76
8849,TRCA7,Trukia carolinensis,Trukia,carolinensis,NA,NA,2.14,4.28,1.76
8850,TUOC,muttonwood,Turpinia,occidentalis,NA,NA,2.96,5.92,1.76
8851,ULPA,Chinese elm,Ulmus,parvifolia,NA,NA,1.73,3.46,1.76
8853,URBA,scratchbush,Urera,baccifera,NA,NA,2.96,5.92,1.76
8854,URCA2,flameberry,Urera,caracasana,NA,NA,2.96,5.92,1.76
8855,URCH2,ortiga,Urera,chlorocarpa,NA,NA,2.96,5.92,1.76
8856,URGL,hopue,Urera,glabra,NA,NA,0.51,1.02,1.76
8857,URKA,opuhe,Urera,kaalae,NA,NA,0.51,1.02,1.76
8858,URERA,urera,Urera,spp.,NA,NA,0.51,1.02,1.76
8860,VAAR,farkleberry,Vaccinium,arboreum,NA,NA,1.71,3.42,2
8861,VAMA5,voa vanga,Vangueria,madagascariensis,NA,NA,2.96,5.92,1.76
8863,VAOA5,Vavaea pauciflora,Vavaea,pauciflora,NA,NA,1.55,3.1,1.76
8866,VEME3,Manila palm,Veitchia,merrillii,NA,NA,1.35,2.7,1.76
8868,STPO10,Sterculia ponapensis,Sterculia,ponapensis,NA,NA,1.21,2.42,1.76
8869,VEMO3,mu oil tree,Vernicia,montana,NA,NA,1.35,2.7,1.76
8870,VERNI,vernicia,Vernicia,spp.,NA,NA,1.35,2.7,1.76
8871,VIAG,lilac chastetree,Vitex,agnus-castus,NA,NA,2.96,5.92,1.76
8872,VICO17,"bars, beokel",Vitex,cofassus,NA,NA,1.83,3.66,1.76
8873,VIDI2,higuerillo,Vitex,divaricata,NA,NA,2.96,5.92,1.76
8874,VIPA6,smallflower chastetree,Vitex,parviflora,NA,NA,1.46,2.92,1.76
8875,VITEX,chastetree,Vitex,spp.,NA,NA,1.46,2.92,1.76
8876,VITR7,simpleleaf chastetree,Vitex,trifolia,NA,NA,1.46,2.92,1.76
8878,VIPR,blackhaw,Viburnum,prunifolium,NA,NA,2.96,5.92,2
8879,VIRU,rusty blackhaw,Viburnum,rufidulum,NA,NA,1.71,3.42,1.76
8881,WALA,Wallenia lamarckiana,Wallenia,lamarckiana,NA,NA,2.96,5.92,1.76
8884,WEBI,ateate,Wedelia,biflora,NA,NA,1.83,3.66,1.76
8885,WARO,Washington fan palm,Washingtonia,robusta,NA,NA,2.96,5.92,1.76
8886,WEAF,Weinmannia affinis,Weinmannia,affinis,NA,NA,1.66,3.32,1.76
8887,WEPI,bastard briziletto,Weinmannia,pinnata,NA,NA,2.96,5.92,1.76
8889,WIBI,alpine false ohelo,Wikstroemia,bicornuta,NA,NA,1.46,2.92,1.76
8890,WIFU,forest false ohelo,Wikstroemia,furcata,NA,NA,1.46,2.92,1.76
8891,WIMO,montane false ohelo,Wikstroemia,monticola,NA,NA,1.46,2.92,1.76
8892,WIOA,Oahu false ohelo,Wikstroemia,oahuensis,NA,NA,1.46,2.92,1.76
8895,WIPH2,Hawaii false ohelo,Wikstroemia,phillyreifolia,NA,NA,1.46,2.92,1.76
8896,WIPU,Kohala false ohelo,Wikstroemia,pulcherrima,NA,NA,1.46,2.92,1.76
8897,WISA,variableleaf false ohelo,Wikstroemia,sandwicensis,NA,NA,1.46,2.92,1.76
8898,WISK,Skottsbergs false ohelo,Wikstroemia,skottsbergiana,NA,NA,1.46,2.92,1.76
8899,WIKST,false ohelo,Wikstroemia,spp.,NA,NA,1.46,2.92,1.76
8900,WIVI,hairy false ohelo,Wikstroemia,villosa,NA,NA,1.46,2.92,1.76
8901,XIAM,tallow wood,Ximenia,americana,NA,NA,2.96,5.92,1.76
8903,XYGR,lalanyog,Xylocarpus,granatum,NA,NA,1.48,2.96,1.76
8904,XYMO2,leilei,Xylocarpus,moluccensis,NA,NA,1.72,3.44,1.76
8905,XYLOC2,Xylocarpus,Xylocarpus,spp.,NA,NA,1.56,3.12,1.76
8906,XYBU,mucha-gente,Xylosma,buxifolia,NA,NA,2.96,5.92,1.76
8907,XYCR,sawtooth logwood,Xylosma,crenata,NA,NA,1.67,3.34,1.76
8908,XYHA,Hawaii brushholly,Xylosma,hawaiiensis,NA,NA,1.67,3.34,1.76
8909,XYNE2,Xylosma nelsonii,Xylosma,nelsonii,NA,NA,1.67,3.34,1.76
8910,XYPA2,spiny logwood,Xylosma,pachyphylla,NA,NA,2.96,5.92,1.76
8911,XYSA,Xylosma samoensis,Xylosma,samoensis,NA,NA,1.67,3.34,1.76
8912,XYSC2,white logwood,Xylosma,schaefferioides,NA,NA,2.96,5.92,1.76
8913,XYSC3,Schwaneck's logwood,Xylosma,schwaneckeana,NA,NA,2.96,5.92,1.76
8915,XYLOS,xylosma,Xylosma,spp.,NA,NA,1.67,3.34,1.76
8916,YUAL,aloe yucca,Yucca,aloifolia,NA,NA,2.96,5.92,1.76
8918,YUGL2,moundlily yucca,Yucca,gloriosa,NA,NA,2.96,5.92,1.76
8919,YUGU,bluestem yucca,Yucca,guatemalensis,NA,NA,2.96,5.92,1.76
8923,ZABI,Maricao pricklyash,Zanthoxylum,bifoliolatum,NA,NA,2.96,5.92,1.76
8924,ZACA3,prickly yellow,Zanthoxylum,caribaeum,NA,NA,2.96,5.92,1.76
8925,ZADI,kawau,Zanthoxylum,dipetalum,NA,NA,1.69,3.38,1.76
8928,ZAFL,West Indian satinwood,Zanthoxylum,flavum,NA,NA,2.96,5.92,1.76
8929,ZAHA,Hawaii pricklyash,Zanthoxylum,hawaiiense,NA,NA,1.69,3.38,1.76
8930,ZAKA,Kauai pricklyash,Zanthoxylum,kauaense,NA,NA,1.69,3.38,1.76
8931,ZAMA,white pricklyash,Zanthoxylum,martinicense,NA,NA,2.96,5.92,1.76
8932,ZAMO,yellow prickle,Zanthoxylum,monophyllum,NA,NA,2.96,5.92,1.76
8933,ZAOA,Oahu pricklyash,Zanthoxylum,oahuense,NA,NA,1.69,3.38,1.76
8934,ZAPU2,dotted pricklyash,Zanthoxylum,punctatum,NA,NA,2.96,5.92,1.76
8935,ZASP,niaragato,Zanthoxylum,spinifex,NA,NA,2.96,5.92,1.76
8936,ZANTH,pricklyash,Zanthoxylum,spp.,NA,NA,1.69,3.38,1.76
8937,ZATH,St. Thomas pricklyash,Zanthoxylum,thomasianum,NA,NA,2.96,5.92,1.76
8938,ZAPO2,Zapoteca portoricensis,Zapoteca,portoricensis,NA,NA,2.96,5.92,1.76
8939,ZIMA,Indian jujube,Ziziphus,mauritiana,NA,NA,2.96,5.92,1.76
8940,ZIRE,cacao rojo,Ziziphus,reticulata,NA,NA,2.96,5.92,1.76
8941,ZIRI,soana,Ziziphus,rignonii,NA,NA,2.96,5.92,1.76
8942,ZAAM,common pricklyash,Zanthoxylum,americanum,NA,NA,2.96,5.92,1.76
8943,ZITA,Taylor's jujube,Ziziphus,taylorii,NA,NA,2.96,5.92,1.76
8944,ZACL,Hercules' club,Zanthoxylum,clava-herculis,NA,NA,1.78,3.56,1.76
